product_key,product_card_id,product_category_id,product_name,product_price,product_status,category_id,category_name,department_id,department_name,product_description,product_image
893,893,40,Team Golf Pittsburgh Steelers Putter Grip,24.98999977,0,40,Accessories,6,Outdoors,,http://images.acmesports.sports/Team+Golf+Pittsburgh+Steelers+Putter+Grip
977,977,44,ENO Atlas Hammock Straps,29.98999977,0,44,Hunting & Shooting,7,Fan Shop,,http://images.acmesports.sports/ENO+Atlas+Hammock+Straps
93,93,5,Under Armour Men's Tech II T-Shirt,24.98999977,0,5,Lacrosse,2,Fitness,,http://images.acmesports.sports/Under+Armour+Men%27s+Tech+II+T-Shirt
172,172,9,Nike Women's Tempo Shorts,30.0,0,9,Cardio Equipment,3,Footwear,,http://images.acmesports.sports/Nike+Women%27s+Tempo+Shorts
924,924,41,Glove It Urban Brick Golf Towel,15.98999977,0,41,Trade-In,6,Outdoors,,http://images.acmesports.sports/Glove+It+Urban+Brick+Golf+Towel
885,885,40,Team Golf St. Louis Cardinals Putter Grip,24.98999977,0,40,Accessories,6,Outdoors,,http://images.acmesports.sports/Team+Golf+St.+Louis+Cardinals+Putter+Grip
403,403,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,18,Men's Footwear,4,Apparel,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat
957,957,43,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,43,Camping & Hiking,7,Fan Shop,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014
282,282,13,Under Armour Women's Ignite PIP VI Slide,31.98999977,0,13,Electronics,3,Footwear,,http://images.acmesports.sports/Under+Armour+Women%27s+Ignite+PIP+VI+Slide
1349,1349,62,Web Camera,452.0400085,0,62,Cameras,10,Technology,,http://images.acmesports.sports/Web+Camera
1352,1352,65,Industrial consumer electronics,252.8800049,0,65,Consumer Electronics,10,Technology,,http://images.acmesports.sports/Industrial+consumer+electronics
1351,1351,64,Dell Laptop,1500.0,0,64,Computers,10,Technology,,http://images.acmesports.sports/Dell+Laptop
303,303,38,Garmin Forerunner 910XT GPS Watch,399.9899902,0,38,Kids' Golf Clubs,6,Outdoors,,http://images.acmesports.sports/Garmin+Forerunner+910XT+GPS+Watch
1004,1004,45,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,45,Fishing,7,Fan Shop,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe
1346,1346,59,Sports Books,31.07999992,0,59,Books,8,Book Shop,,http://images.acmesports.sports/Sports+Books
35,35,3,adidas Brazuca 2014 Official Match Ball,159.9900055,0,3,Baseball & Softball,2,Fitness,,http://images.acmesports.sports/adidas+Brazuca+2014+Official+Match+Ball
278,278,13,Under Armour Men's Compression EV SL Slide,44.99000168,0,13,Electronics,3,Footwear,,http://images.acmesports.sports/Under+Armour+Men%27s+Compression+EV+SL+Slide
1350,1350,63,Children's heaters,357.1000061,0,63,Children's Clothing,4,Apparel,,http://images.acmesports.sports/Children+heaters
1353,1353,66,Porcelain crafts,461.480011,0,66,Crafts,4,Apparel,,http://images.acmesports.sports/Porcelain+crafts
1347,1347,60,Baby sweater,59.08000183,0,60,Baby,4,Apparel,,http://images.acmesports.sports/Baby+sweater
364,364,17,Total Gym 1400,299.9899902,0,17,Cleats,4,Apparel,,http://images.acmesports.sports/Total+Gym+1400
305,305,38,Mio ALPHA Heart Rate Monitor/Sport Watch,199.0,0,38,Kids' Golf Clubs,6,Outdoors,,http://images.acmesports.sports/Mio+ALPHA+Heart+Rate+Monitor%2FSport+Watch
906,906,40,Team Golf Tennessee Volunteers Putter Grip,24.98999977,0,40,Accessories,6,Outdoors,,http://images.acmesports.sports/Team+Golf+Tennessee+Volunteers+Putter+Grip
1354,1354,67,DVDs,164.3800049,0,67,DVDs,9,Discs Shop,,http://images.acmesports.sports/DVDs
19,19,2,Nike Men's Fingertrap Max Training Shoe,124.9899979,0,2,Soccer,2,Fitness,,http://images.acmesports.sports/Nike+Men%27s+Fingertrap+Max+Training+Shoe
60,60,4,SOLE E25 Elliptical,999.9899902,0,4,Basketball,2,Fitness,,http://images.acmesports.sports/SOLE+E25+Elliptical
203,203,10,GoPro HERO3+ Black Edition Camera,399.9899902,0,10,Strength Training,3,Footwear,,http://images.acmesports.sports/GoPro+HERO3%2B+Black+Edition+Camera
858,858,38,GolfBuddy VT3 GPS Watch,199.9900055,0,38,Kids' Golf Clubs,6,Outdoors,,http://images.acmesports.sports/GolfBuddy+VT3+GPS+Watch
607,607,41,Garmin Approach S3 Golf GPS Watch,249.9900055,0,41,Trade-In,6,Outdoors,,http://images.acmesports.sports/Garmin+Approach+S3+Golf+GPS+Watch
311,311,38,Polar Loop Activity Tracker,109.9499969,0,38,Kids' Golf Clubs,6,Outdoors,,http://images.acmesports.sports/Polar+Loop+Activity+Tracker
1348,1348,61,CDs of rock,11.28999996,0,61,CDs,9,Discs Shop,,http://images.acmesports.sports/CDs+of+rock
821,821,37,Titleist Pro V1 High Numbers Personalized Gol,51.99000168,0,37,Electronics,6,Outdoors,,http://images.acmesports.sports/Titleist+Pro+V1+High+Numbers+Personalized+Golf+Balls
886,886,40,Team Golf San Francisco Giants Putter Grip,24.98999977,0,40,Accessories,6,Outdoors,,http://images.acmesports.sports/Team+Golf+San+Francisco+Giants+Putter+Grip
982,982,44,insta-bed Neverflat Air Mattress,149.9900055,0,44,Hunting & Shooting,7,Fan Shop,,http://images.acmesports.sports/insta-bed+Neverflat+Air+Mattress
1359,1359,72,Adult dog supplies,84.40000153,0,72,Pet Supplies,11,Pet Shop,,http://images.acmesports.sports/Adult+dog+supplies
1356,1356,69,First aid kit,293.0400085,0,69,Health and Beauty,12,Health and Beauty,,http://images.acmesports.sports/First+aid+kit
1363,1363,76,Summer dresses,215.8200073,0,76,Women's Clothing,4,Apparel,,http://images.acmesports.sports/Summer+dresses
1362,1362,75,Fighting video games,39.75,0,75,Video Games,9,Discs Shop,,http://images.acmesports.sports/Fighting+video+games
1358,1358,71,Rock music,260.6499939,0,71,Music,9,Discs Shop,,http://images.acmesports.sports/Rock+music
1357,1357,70,Men's gala suit,210.8500061,0,70,Men's Clothing,4,Apparel,,http://images.acmesports.sports/Men+gala+suit
567,567,26,adidas Men's Germany Black Crest Away Tee,25.0,0,26,Girls' Apparel,5,Golf,,http://images.acmesports.sports/adidas+Men%27s+Germany+Black+Crest+Away+Tee
1355,1355,68,Lawn mower,532.5800171,0,68,Garden,6,Outdoors,,http://images.acmesports.sports/Lawn+mower
926,926,41,Glove It Imperial Golf Towel,15.98999977,0,41,Trade-In,6,Outdoors,,http://images.acmesports.sports/Glove+It+Imperial+Golf+Towel
276,276,13,Under Armour Women's Ignite Slide,31.98999977,0,13,Electronics,3,Footwear,,http://images.acmesports.sports/Under+Armour+Women%27s+Ignite+Slide
295,295,38,Fitbit The One Wireless Activity & Sleep Trac,99.94999695,0,38,Kids' Golf Clubs,6,Outdoors,,http://images.acmesports.sports/Fitbit+The+One+Wireless+Activity+%26+Sleep+Tracker
24,24,2,Elevation Training Mask 2.0,79.98999786,0,2,Soccer,2,Fitness,,http://images.acmesports.sports/Elevation+Training+Mask+2.0
825,825,37,Bridgestone e6 Straight Distance NFL Tennesse,31.98999977,0,37,Electronics,6,Outdoors,,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+Tennessee+Titans+Golf...
981,981,44,The North Face Women's Recon Backpack,99.0,0,44,Hunting & Shooting,7,Fan Shop,,http://images.acmesports.sports/The+North+Face+Women%27s+Recon+Backpack
258,258,12,Nike Women's Free 5.0 TR FIT PRT 4 Training S,94.98999786,0,12,Boxing & MMA,3,Footwear,,http://images.acmesports.sports/Nike+Women%27s+Free+5.0+TR+FIT+PRT+4+Training+Shoe
58,58,4,Diamondback Boys' Insight 24 Performance Hybr,299.9899902,0,4,Basketball,2,Fitness,,http://images.acmesports.sports/Diamondback+Boys%27+Insight+24+Performance+Hybrid+Bike+2014
625,625,29,Nike Men's Kobe IX Elite Low Basketball Shoe,199.9900055,0,29,Shop By Sport,5,Golf,,http://images.acmesports.sports/Nike+Men%27s+Kobe+IX+Elite+Low+Basketball+Shoe
823,823,37,Titleist Pro V1x High Numbers Personalized Go,51.99000168,0,37,Electronics,6,Outdoors,,http://images.acmesports.sports/Titleist+Pro+V1x+High+Numbers+Personalized+Golf+Balls
251,251,12,Brooks Women's Ghost 6 Running Shoe,89.98999786,0,12,Boxing & MMA,3,Footwear,,http://images.acmesports.sports/Brooks+Women%27s+Ghost+6+Running+Shoe
359,359,16,Nike Men's Free TR 5.0 TB Training Shoe,99.98999786,0,16,As Seen on  TV!,3,Footwear,,http://images.acmesports.sports/Nike+Men%27s+Free+TR+5.0+TB+Training+Shoe
78,78,5,Nike Kids' Grade School KD VI Basketball Shoe,99.98999786,0,5,Lacrosse,2,Fitness,,http://images.acmesports.sports/Nike+Kids%27+Grade+School+KD+VI+Basketball+Shoe
845,845,38,Garmin Approach S4 Golf GPS Watch,299.9899902,0,38,Kids' Golf Clubs,6,Outdoors,,http://images.acmesports.sports/Garmin+Approach+S4+Golf+GPS+Watch
216,216,10,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,189.0,0,10,Strength Training,3,Footwear,,http://images.acmesports.sports/Yakima+DoubleDown+Ace+Hitch+Mount+4-Bike+Rack
306,306,38,Polar FT4 Heart Rate Monitor,89.98999786,0,38,Kids' Golf Clubs,6,Outdoors,,http://images.acmesports.sports/Polar+FT4+Heart+Rate+Monitor
1014,1014,46,O'Brien Men's Neoprene Life Vest,49.97999954,0,46,Indoor/Outdoor Games,7,Fan Shop,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest
208,208,10,SOLE E35 Elliptical,1999.98999,0,10,Strength Training,3,Footwear,,http://images.acmesports.sports/SOLE+E35+Elliptical
61,61,4,Diamondback Girls' Clarity 24 Hybrid Bike 201,299.9899902,0,4,Basketball,2,Fitness,,http://images.acmesports.sports/Diamondback+Girls%27+Clarity+24+Hybrid+Bike+2014
860,860,38,Bushnell Pro X7 Jolt Slope Rangefinder,599.9899902,0,38,Kids' Golf Clubs,6,Outdoors,,http://images.acmesports.sports/Bushnell+Pro+X7+Jolt+Slope+Rangefinder
226,226,11,Bowflex SelectTech 1090 Dumbbells,599.9899902,0,11,Fitness Accessories,3,Footwear,,http://images.acmesports.sports/Bowflex+SelectTech+1090+Dumbbells
1360,1360,73,Smart watch,327.75,0,73,Sporting Goods,2,Fitness,,http://images.acmesports.sports/Smart+watch 
135,135,7,Nike Dri-FIT Crew Sock 6 Pack,22.0,0,7,Hockey,2,Fitness,,http://images.acmesports.sports/Nike+Dri-FIT+Crew+Sock+6+Pack
134,134,7,Nike Women's Legend V-Neck T-Shirt,25.0,0,7,Hockey,2,Fitness,,http://images.acmesports.sports/Nike+Women%27s+Legend+V-Neck+T-Shirt
127,127,7,Stiga Master Series ST3100 Competition Indoor,329.9899902,0,7,Hockey,2,Fitness,,http://images.acmesports.sports/Stiga+Master+Series+ST3100+Competition+Indoor+Table+Tennis...
793,793,36,Hirzl Women's Hybrid Golf Glove,14.98999977,0,36,Golf Balls,6,Outdoors,,http://images.acmesports.sports/Hirzl+Women%27s+Hybrid+Golf+Glove
792,792,36,Hirzl Men's Hybrid Golf Glove,14.98999977,0,36,Golf Balls,6,Outdoors,,http://images.acmesports.sports/Hirzl+Men%27s+Hybrid+Golf+Glove
786,786,35,TaylorMade 2014 Purelite Stand Bag,179.9900055,0,35,Golf Gloves,6,Outdoors,,http://images.acmesports.sports/TaylorMade+2014+Purelite+Stand+Bag
778,778,35,Bag Boy Beverage Holder,24.98999977,0,35,Golf Gloves,6,Outdoors,,http://images.acmesports.sports/Bag+Boy+Beverage+Holder
777,777,35,Bag Boy M330 Push Cart,79.98999786,0,35,Golf Gloves,6,Outdoors,,http://images.acmesports.sports/Bag+Boy+M330+Push+Cart
775,775,35,Clicgear 8.0 Shoe Brush,9.989999771,0,35,Golf Gloves,6,Outdoors,,http://images.acmesports.sports/Clicgear+8.0+Shoe+Brush
773,773,35,Titleist Small Wheeled Travel Cover,249.9900055,0,35,Golf Gloves,6,Outdoors,,http://images.acmesports.sports/Titleist+Small+Wheeled+Travel+Cover
771,771,35,Clicgear Rovic Cooler Bag,39.99000168,0,35,Golf Gloves,6,Outdoors,,http://images.acmesports.sports/Clicgear+Rovic+Cooler+Bag
768,768,35,Titleist Club Glove Travel Cover,299.9899902,0,35,Golf Gloves,6,Outdoors,,http://images.acmesports.sports/Titleist+Club+Glove+Travel+Cover
