order_year_month,market,total_orders,total_order_items,total_customers,total_sales,total_profit,total_cost,late_delivery_rate,avg_shipping_days,avg_shipping_variance,delivery_risk_level,business_health_flag
2016-08,Africa,165,484,164,86992.39095733003,8755.800038809002,78236.59091852096,0.5351239669421488,3.725206611570248,0.5289256198347108,Medium delivery risk,Normal
2016-02,Pacific Asia,1650,4894,1525,870116.749786719,86809.49064166311,783307.25914506,0.5414793624846751,3.561708214139763,0.548222313036371,Medium delivery risk,Normal
2017-01,USCA,41,118,41,20514.4001486,4186.559984129,16327.840164471001,0.3983050847457627,3.305084745762712,0.3050847457627119,Low delivery risk,Normal
2016-04,USCA,1656,4938,1552,871756.2895382715,109011.82996429887,762744.4595739751,0.5520453624949372,3.5303766707168895,0.5698663426488457,Medium delivery risk,Normal
2016-10,Africa,784,2383,774,415576.6744788926,49135.42024550008,366441.2542333909,0.5316827528325639,3.424674779689467,0.5077633235417541,Medium delivery risk,Normal
2017-07,Europe,1776,5318,1662,992423.4305027367,113026.70003808089,879396.7304646678,0.5477623166603987,3.4590071455434375,0.5819857089131253,Medium delivery risk,Normal
2016-09,Pacific Asia,517,1530,501,267251.08312498254,36287.320095262054,230963.76302972028,0.5450980392156862,3.56078431372549,0.569281045751634,Medium delivery risk,Normal
2017-10,Europe,2101,2255,2101,966081.4097694296,113447.16988253193,852634.2398868959,0.5365853658536586,3.502439024390244,0.5365853658536586,Medium delivery risk,Normal
2016-11,Europe,323,988,318,174581.39211645047,18713.64005428098,155867.75206216905,0.5273279352226721,3.5121457489878543,0.5526315789473685,Medium delivery risk,Normal
2016-12,USCA,70,209,70,36581.37036339998,5087.890008382001,31493.480355018,0.49282296650717705,3.38755980861244,0.22488038277511962,Medium delivery risk,Normal
