order_year_month,market,customer_segment,department_name,category_name,product_name,order_count,order_item_count,total_quantity,total_sales,total_profit,total_cost,profit_margin,avg_sales_per_item,avg_discount_rate,avg_profit_ratio
2016-08,USCA,Home Office,Outdoors,Electronics,Titleist Pro V1 High Numbers Personalized Gol,4,4,8.0,355.10000228,74.329998499,280.770003781,0.2093213123676356,88.77500057,0.10250000249999999,0.2049999985
2017-01,LATAM,Home Office,Fitness,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,1,1,4.0,235.1600037,51.74000168,183.42000202,0.2200204153169096,235.1600037,0.02,0.219999999
2016-12,USCA,Home Office,Outdoors,Electronics,Bridgestone e6 Straight Distance NFL Carolina,1,1,4.0,125.4000015,60.18999863,65.21000287000001,0.4799840343702069,125.4000015,0.02,0.479999989
2017-11,Pacific Asia,Consumer,Discs Shop,DVDs,DVDs,61,61,61.0,9069.639945300001,593.3600017209998,8476.279943578998,0.06542266344635723,148.68262205409837,0.09573770536065575,0.0703278707213115
2016-04,USCA,Consumer,Outdoors,Electronics,Titleist Pro V1x Golf Balls,8,8,22.0,854.4700050199999,90.18000509999999,764.2899999199999,0.10553911146113223,106.80875062749999,0.1537500015,0.13999999600000002
2016-07,USCA,Consumer,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,184,202,202.0,54512.091370199945,7349.879955393001,47162.21141480699,0.13483026922373686,269.86183846633634,0.10074257490594068,0.14316831640594058
2017-02,LATAM,Corporate,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,49,58,58.0,6649.569938460003,893.2999989049999,5756.269939555001,0.1343395147614437,114.64775755965522,0.11827586227586206,0.13620689589655172
2015-04,LATAM,Corporate,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,38,44,44.0,11892.640304699991,1758.4200706780002,10134.220234022,0.14785783691642215,270.2872796522725,0.09931818188636364,0.14840909320454546
2015-03,LATAM,Corporate,Footwear,Cardio Equipment,Nike Women's Tempo Shorts,3,3,6.0,159.00000001,29.360000135,129.639999875,0.18465408888775758,53.000000003333334,0.11666666433333334,0.18666666766666665
2017-01,Africa,Corporate,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,17,18,18.0,5050.1401521,222.21999366999998,4827.92015843,0.0440027379393806,280.5633417833333,0.06500000044444446,0.02944444872222222
2015-01,LATAM,Corporate,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,40,42,42.0,11357.170242299992,1435.2700009579999,9921.900241341997,0.1263756702010427,270.40881529285696,0.09880952428571427,0.1299999992857143
2017-12,Pacific Asia,Corporate,Technology,Computers,Dell Laptop,24,24,24.0,31672.5,1364.2000350500007,30308.299964949998,0.043072066778751306,1319.6875,0.12041666779166665,0.05333333845833335
2016-04,USCA,Corporate,Golf,Girls' Apparel,Nike Men's Deutschland Weltmeister Winners Bl,4,4,10.0,288.60000229,64.330001114,224.27000117600002,0.22290367499497774,72.1500005725,0.03499999975,0.20000000100000004
2016-11,Europe,Corporate,Footwear,Electronics,Under Armour Women's Ignite Slide,1,1,2.0,62.70000076,16.29999924,46.40000152,0.25996808680102473,62.70000076,0.02,0.25999999
2015-05,LATAM,Corporate,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,66,82,247.0,13336.630256980006,2526.319984873999,10810.310272106002,0.18942715934947632,162.6418324021952,0.09865853720731708,0.20695121846341463
2016-09,Pacific Asia,Consumer,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,9,10,38.0,1702.0,283.449993366,1418.550006634,0.1665393615546416,170.2,0.10500000029999998,0.1450000009
2016-01,Pacific Asia,Consumer,Outdoors,Trade-In,Glove It Women's Mod Oval 3-Zip Carry All Gol,6,6,18.0,339.52000046,-50.450001482,389.970001942,-0.1485921342296407,56.58666674333333,0.15833333566666666,-0.12833333016666668
2016-01,Pacific Asia,Consumer,Golf,Girls' Apparel,adidas Youth Germany Black/Red Away Match Soc,2,2,7.0,385.0,75.04000092,309.95999908,0.1949090932987013,192.5,0.2250000015,0.2849999965
2016-04,USCA,Consumer,Golf,Shop By Sport,Columbia Men's PFG Anchor Tough T-Shirt,4,4,15.0,430.20000074,119.64999866,310.55000208,0.2781264492194013,107.550000185,0.0625000005,0.3025000025
2016-04,USCA,Consumer,Outdoors,Electronics,Titleist Pro V1 High Numbers Personalized Gol,4,4,15.0,754.88999949,224.19000243999997,530.6999970500001,0.2969836699273558,188.7224998725,0.034999999749999997,0.289999999
2016-07,USCA,Consumer,Outdoors,Golf Balls,Hirzl Women's Soffft Flex Golf Glove,6,6,22.0,344.33000374000005,59.659999852,284.670003888,0.1732640176690749,57.38833395666668,0.10000000200000002,0.21833333366666663
2016-06,USCA,Consumer,Outdoors,Electronics,Titleist Pro V1x High Numbers Personalized Go,5,5,17.0,741.37001424,70.95999576199999,670.410018478,0.09571468281562905,148.274002848,0.13999999980000002,0.071999997
2017-08,Europe,Consumer,Fan Shop,Hunting & Shooting,insta-bed Neverflat Air Mattress,7,8,8.0,1087.4200288000002,217.239995,870.1800338,0.1997756057884373,135.92750360000002,0.09375000075,0.2025000005
2016-09,Europe,Corporate,Golf,Girls' Apparel,adidas Youth Germany Black/Red Away Match Soc,1,1,4.0,277.2000122,2.769999981,274.430012219,0.00999278448444455,277.2000122,0.01,0.01
2017-04,LATAM,Corporate,Footwear,Cardio Equipment,Nike Women's Tempo Shorts,1,1,4.0,108.0,33.79999924,74.20000076,0.31296295592592593,108.0,0.100000001,0.310000002
2015-10,Europe,Home Office,Golf,Girls' Apparel,TYR Boys' Team Digi Jammer,2,2,8.0,281.5300064,137.48999787,144.04000853000002,0.4883671180494102,140.7650032,0.10000000349999999,0.4899999945
2016-12,Africa,Home Office,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,24,24,24.0,6490.030136099997,1588.68998254,4901.3401535600005,0.24478930747996172,270.4179223374999,0.098750000625,0.24708333654166661
2017-06,LATAM,Home Office,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,6,7,18.0,633.04001234,154.31999588899998,478.720016451,0.24377605345760692,90.43428747714286,0.10571428614285715,0.2228571467142857
2016-08,USCA,Home Office,Outdoors,Electronics,Titleist Pro V1x Golf Balls,1,1,3.0,143.9700012,66.23000336,77.73999784000002,0.4600264138915628,143.9700012,0.0,0.460000008
2017-08,Europe,Home Office,Fan Shop,Hunting & Shooting,insta-bed Neverflat Air Mattress,3,3,3.0,410.2200089,122.92000199,287.30000691,0.299644091763365,136.74000296666665,0.09000000166666666,0.30666666466666664
2016-09,Pacific Asia,Home Office,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,3,3,3.0,818.9400177,-312.43998532,1131.38000302,-0.381517545323393,272.9800059,0.09000000366666666,-0.43333334500000004
2017-12,Pacific Asia,Home Office,Apparel,Baby,Baby sweater,20,20,20.0,1070.2500076400001,158.429999828,911.8200078120001,0.148030832699878,53.512500382000006,0.09450000185,0.15100000004999997
2016-09,USCA,Home Office,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,4,4,11.0,479.25,93.100000263,386.14999973700003,0.19426186805007825,119.8125,0.10750000025,0.175000005
2016-02,Pacific Asia,Home Office,Outdoors,Trade-In,Glove It Women's Mod Oval 3-Zip Carry All Gol,1,1,2.0,38.70000076,12.77000046,25.930000300000003,0.32997416561291043,38.70000076,0.119999997,0.330000013
