order_year_month,market,order_region,order_country,shipping_mode,delivery_status,order_count,order_item_count,late_item_count,on_time_item_count,advance_shipping_item_count,canceled_item_count,late_delivery_rate,avg_real_shipping_days,avg_scheduled_shipping_days,avg_shipping_variance,total_sales,total_profit
2016-02,Pacific Asia,Oceania,Australia,Standard Class,Advance shipping,79,257,0.0,0.0,257.0,0.0,0.0,2.463035019455253,4.0,-1.5369649805447472,45625.020459899955,6595.490046922003
2016-11,Africa,West Africa,Ghana,Standard Class,Advance shipping,3,8,0.0,0.0,8.0,0.0,0.0,2.625,4.0,-1.375,1246.4900245500003,277.37000285
2016-11,Africa,North Africa,Argelia,Standard Class,Advance shipping,8,24,0.0,0.0,24.0,0.0,0.0,2.75,4.0,-1.25,4199.560047310001,1002.2899932860001
2015-09,Europe,Western Europe,Francia,Standard Class,Advance shipping,47,142,0.0,0.0,142.0,0.0,0.0,2.415492957746479,4.0,-1.5845070422535212,24384.210230279987,3518.1900033559996
2016-12,Europe,Western Europe,Austria,Standard Class,Late delivery,3,8,8.0,0.0,0.0,0.0,1.0,5.375,4.0,1.375,1822.8000260000003,402.35999677
2015-11,Pacific Asia,Oceania,Australia,Standard Class,Advance shipping,99,308,0.0,0.0,308.0,0.0,0.0,2.5584415584415585,4.0,-1.4415584415584415,54799.12058848001,7044.619970257999
2017-07,Europe,Western Europe,Alemania,Standard Class,Shipping on time,34,100,0.0,100.0,0.0,0.0,0.0,4.0,4.0,0.0,19605.680155019993,3687.309992396
2016-08,Europe,Western Europe,Austria,Standard Class,Shipping on time,1,2,0.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,304.93999104,-391.51000406
2017-07,Europe,Northern Europe,Reino Unido,Standard Class,Advance shipping,60,183,0.0,0.0,183.0,0.0,0.0,2.519125683060109,4.0,-1.4808743169398908,32265.320312979988,2819.0199941540013
2017-12,Pacific Asia,Southeast Asia,Vietnam,Standard Class,Late delivery,9,9,9.0,0.0,0.0,0.0,1.0,5.555555555555555,4.0,1.5555555555555556,3325.479991008,300.63999650399995
2017-10,Europe,Western Europe,Francia,Standard Class,Advance shipping,80,81,0.0,0.0,81.0,0.0,0.0,2.4691358024691357,4.0,-1.5308641975308641,37717.61995339899,6957.649990118998
2017-10,Europe,Northern Europe,Reino Unido,Standard Class,Late delivery,57,58,58.0,0.0,0.0,0.0,1.0,5.448275862068965,4.0,1.4482758620689655,24853.579952313,1981.1799409510002
2017-09,Europe,Northern Europe,Reino Unido,Standard Class,Shipping on time,32,99,0.0,99.0,0.0,0.0,0.0,4.0,4.0,0.0,19335.900134739994,2330.630021006
2015-10,Europe,Western Europe,Alemania,Standard Class,Shipping on time,21,58,0.0,58.0,0.0,0.0,0.0,4.0,4.0,0.0,10580.230142619997,1120.329997153
2015-08,Europe,Western Europe,Alemania,Second Class,Shipping on time,13,44,0.0,44.0,0.0,0.0,0.0,2.0,2.0,0.0,7999.930099449996,126.03000560200002
2017-07,Europe,Western Europe,Alemania,Second Class,Late delivery,60,197,197.0,0.0,0.0,0.0,1.0,4.441624365482234,2.0,2.4416243654822334,35640.44040286998,5500.680031554002
2015-09,Europe,Western Europe,Francia,Second Class,Shipping on time,8,30,0.0,30.0,0.0,0.0,0.0,2.0,2.0,0.0,6156.760048179999,-53.32001039899991
2015-09,Europe,Southern Europe,Portugal,Second Class,Late delivery,1,4,4.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,697.269989,139.200000048
2016-10,Europe,Eastern Europe,Rusia,Standard Class,Late delivery,7,25,25.0,0.0,0.0,0.0,1.0,5.4,4.0,1.4,4562.56009688,404.58998917100007
2016-02,Pacific Asia,Southeast Asia,Filipinas,Standard Class,Advance shipping,22,60,0.0,0.0,60.0,0.0,0.0,2.566666666666667,4.0,-1.4333333333333333,11083.550176899995,2199.519983869
2015-12,Pacific Asia,South Asia,India,Standard Class,Shipping canceled,7,22,0.0,0.0,0.0,22.0,0.0,5.2272727272727275,4.0,1.2272727272727273,3945.79006394,457.269982588
2015-12,Pacific Asia,Southeast Asia,Indonesia,Standard Class,Shipping canceled,4,13,0.0,0.0,0.0,13.0,0.0,2.6923076923076925,4.0,-1.3076923076923077,2923.6300278100002,144.89999578000004
2016-05,USCA,US Center,Estados Unidos,Standard Class,Shipping on time,50,159,0.0,159.0,0.0,0.0,0.0,4.0,4.0,0.0,28162.810369929986,1911.4700067199997
2015-09,Europe,Southern Europe,Italia,First Class,Late delivery,13,42,42.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,7676.580070609999,1460.679992204
2015-08,Europe,Western Europe,Alemania,First Class,Late delivery,65,194,194.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,34414.21040759996,4453.930013655
2017-09,Europe,Southern Europe,Portugal,Standard Class,Late delivery,2,7,7.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,1269.5900116,506.62999346999993
2016-02,Pacific Asia,Southeast Asia,Malasia,Standard Class,Shipping on time,2,5,0.0,5.0,0.0,0.0,0.0,4.0,4.0,0.0,803.6900101,-388.999998116
2016-01,Pacific Asia,Southeast Asia,Filipinas,Standard Class,Late delivery,27,69,69.0,0.0,0.0,0.0,1.0,5.63768115942029,4.0,1.6376811594202898,11424.870135539995,2852.4899902380007
2016-12,Africa,North Africa,Argelia,Standard Class,Shipping on time,4,14,0.0,14.0,0.0,0.0,0.0,4.0,4.0,0.0,2677.3000488000002,261.64000615400005
2015-06,Europe,Western Europe,Austria,Standard Class,Advance shipping,5,14,0.0,0.0,14.0,0.0,0.0,2.5714285714285716,4.0,-1.4285714285714286,2632.1900444000003,130.690011575
2017-02,LATAM,Central America,Nicaragua,Standard Class,Shipping on time,6,21,0.0,21.0,0.0,0.0,0.0,4.0,4.0,0.0,3370.9800110100005,540.3799916860002
2016-12,Pacific Asia,West Asia,Irak,Same Day,Shipping on time,3,7,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.99003221,-160.51999669900002
2016-11,Africa,West Africa,Nigeria,Standard Class,Shipping on time,18,54,0.0,54.0,0.0,0.0,0.0,4.0,4.0,0.0,9443.420173599996,422.4500098539995
2016-10,Europe,Southern Europe,Croacia,First Class,Late delivery,2,7,7.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1261.53001599,451.819991575
2016-08,USCA,US Center,Estados Unidos,First Class,Late delivery,73,205,205.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,37969.24041198,6162.579998634001
2016-07,USCA,West of USA,Estados Unidos,Standard Class,Shipping on time,54,162,0.0,162.0,0.0,0.0,0.0,4.0,4.0,0.0,29788.45025106998,2835.340018642
2016-05,USCA,US Center,Estados Unidos,First Class,Late delivery,65,198,198.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,33580.63042209996,1760.1100096629996
2016-05,USCA,West of USA,Estados Unidos,Second Class,Late delivery,88,281,281.0,0.0,0.0,0.0,1.0,4.5338078291814945,2.0,2.5338078291814945,49744.61072409095,4930.94999073
2016-01,Pacific Asia,South Asia,India,First Class,Late delivery,46,148,148.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,26827.69024313998,2228.129915707
2015-02,LATAM,Caribbean,Cuba,Standard Class,Late delivery,16,46,46.0,0.0,0.0,0.0,1.0,5.760869565217392,4.0,1.7608695652173914,7465.610099699997,1342.2700111599995
2017-02,LATAM,South America,Ecuador,Same Day,Late delivery,2,6,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1455.3400268999999,114.76001352600001
2016-12,Africa,North Africa,Marruecos,First Class,Late delivery,8,18,18.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2715.500022880001,531.590007164
2017-10,Europe,Northern Europe,Dinamarca,Standard Class,Advance shipping,1,1,0.0,0.0,1.0,0.0,0.0,3.0,4.0,-1.0,25.79999924,9.359999657
2015-04,LATAM,Central America,Honduras,Standard Class,Late delivery,7,22,22.0,0.0,0.0,0.0,1.0,5.590909090909091,4.0,1.5909090909090908,4085.0100365900007,866.5700099819999
2015-03,LATAM,South America,Venezuela,Second Class,Shipping on time,1,5,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,888.7600097,276.03000454
2017-06,LATAM,South America,Brasil,Second Class,Shipping on time,4,15,0.0,15.0,0.0,0.0,0.0,2.0,2.0,0.0,2126.82001869,213.760001167
2017-03,LATAM,South America,Chile,Second Class,Late delivery,3,9,9.0,0.0,0.0,0.0,1.0,4.555555555555555,2.0,2.5555555555555554,1724.8100052,515.22000505
2015-01,LATAM,Caribbean,Cuba,Second Class,Late delivery,11,29,29.0,0.0,0.0,0.0,1.0,4.448275862068965,2.0,2.4482758620689653,5962.3200534200005,663.659977268
2015-04,LATAM,South America,Brasil,Second Class,Late delivery,3,7,7.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,1453.4000244000001,141.51999669
2017-01,LATAM,South America,Venezuela,Second Class,Late delivery,2,6,6.0,0.0,0.0,0.0,1.0,3.3333333333333335,2.0,1.3333333333333333,632.63000098,-219.150000573
2017-11,Pacific Asia,Southeast Asia,Tailandia,Second Class,Late delivery,4,4,4.0,0.0,0.0,0.0,1.0,4.5,2.0,2.5,1492.7500152,381.83999444
2015-12,Pacific Asia,Southeast Asia,Filipinas,Second Class,Late delivery,14,42,42.0,0.0,0.0,0.0,1.0,3.9523809523809526,2.0,1.9523809523809523,6931.000070479998,984.9500037200002
2017-12,Pacific Asia,Southeast Asia,Vietnam,Second Class,Shipping on time,2,2,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1674.1799927,373.98999024
2017-03,LATAM,Caribbean,Guadalupe,First Class,Late delivery,1,2,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,149.99000168,70.49999808999999
2016-02,Pacific Asia,Southeast Asia,Filipinas,First Class,Late delivery,16,54,54.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,9897.94006159,-309.70995816899983
2017-11,Europe,Western Europe,Alemania,Same Day,Late delivery,4,4,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1088.5299988,169.69999885000001
2016-10,Africa,East Africa,Tanzania,Same Day,Late delivery,5,16,16.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2398.6800384099997,620.779997824
2016-10,Africa,East Africa,Zimbabue,Second Class,Late delivery,5,10,10.0,0.0,0.0,0.0,1.0,4.9,2.0,2.9,1662.21001816,568.609995443
2016-01,Pacific Asia,Southeast Asia,Vietnam,Standard Class,Shipping on time,4,12,0.0,12.0,0.0,0.0,0.0,4.0,4.0,0.0,2932.56007008,376.13000392999993
2015-01,LATAM,Central America,Guatemala,Standard Class,Shipping on time,4,12,0.0,12.0,0.0,0.0,0.0,4.0,4.0,0.0,2510.72002024,918.159995545
2015-05,LATAM,South America,Chile,Standard Class,Advance shipping,2,9,0.0,0.0,9.0,0.0,0.0,2.0,4.0,-2.0,1899.45001988,104.72000506999998
2017-05,LATAM,Caribbean,Barbados,Standard Class,Shipping on time,1,2,0.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,432.9400177,46.97000122
2015-02,LATAM,South America,Argentina,Standard Class,Late delivery,18,37,37.0,0.0,0.0,0.0,1.0,5.5675675675675675,4.0,1.5675675675675675,6062.19006729,395.6399938629999
2017-05,LATAM,South America,Argentina,Standard Class,Shipping on time,7,28,0.0,28.0,0.0,0.0,0.0,4.0,4.0,0.0,5292.260040360001,619.8400121829999
2015-02,LATAM,Central America,Honduras,Standard Class,Late delivery,3,11,11.0,0.0,0.0,0.0,1.0,6.0,4.0,2.0,2446.25002674,641.179999042
2017-04,LATAM,Central America,Nicaragua,Standard Class,Shipping on time,7,18,0.0,18.0,0.0,0.0,0.0,4.0,4.0,0.0,3461.8600427500005,-19.770000452000012
2017-04,LATAM,South America,Bolivia,Standard Class,Shipping canceled,1,2,0.0,0.0,0.0,2.0,0.0,6.0,4.0,2.0,440.9499969,119.47999955
2017-05,LATAM,South America,Brasil,Standard Class,Shipping canceled,1,2,0.0,0.0,0.0,2.0,0.0,5.0,4.0,1.0,292.9899979,88.22999954
2015-11,Pacific Asia,South Asia,India,Standard Class,Shipping on time,25,77,0.0,77.0,0.0,0.0,0.0,4.0,4.0,0.0,14484.200132209997,1051.3699778070002
2015-10,Pacific Asia,Southeast Asia,Filipinas,Second Class,Shipping on time,2,5,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,700.56000902,261.52000327999997
2015-10,Europe,Northern Europe,Reino Unido,Standard Class,Shipping on time,30,106,0.0,106.0,0.0,0.0,0.0,4.0,4.0,0.0,20236.220317959993,3661.5200192420007
2015-04,LATAM,South America,Colombia,First Class,Late delivery,1,2,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,257.7400055,83.76999855
2017-09,Europe,Western Europe,Alemania,First Class,Late delivery,47,157,157.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,30537.620281359978,3575.6400083140015
2016-04,USCA,West of USA,Estados Unidos,First Class,Late delivery,67,187,187.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,32293.990306919968,3449.7999292609984
2016-12,USCA,Canada,Canada,Standard Class,Late delivery,10,29,29.0,0.0,0.0,0.0,1.0,5.620689655172414,4.0,1.6206896551724137,4764.410076299999,524.420003145
2016-04,USCA,South of  USA,Estados Unidos,Second Class,Late delivery,40,114,114.0,0.0,0.0,0.0,1.0,4.228070175438597,2.0,2.2280701754385963,17131.24007052,2565.179998548999
2016-09,Africa,East Africa,Mozambique,Second Class,Late delivery,6,19,19.0,0.0,0.0,0.0,1.0,4.2105263157894735,2.0,2.210526315789474,3207.760011551001,777.6799956080001
2017-03,LATAM,Central America,Guatemala,Second Class,Late delivery,8,14,14.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,2762.3200226,104.750002
2015-04,LATAM,Central America,Nicaragua,Standard Class,Shipping on time,9,22,0.0,22.0,0.0,0.0,0.0,4.0,4.0,0.0,4042.4500771300004,876.260003836
2015-02,LATAM,Central America,Guatemala,Standard Class,Late delivery,16,53,53.0,0.0,0.0,0.0,1.0,5.509433962264151,4.0,1.509433962264151,8519.500090579997,739.980034489
2017-05,LATAM,Central America,Honduras,Standard Class,Advance shipping,7,22,0.0,0.0,22.0,0.0,0.0,2.6363636363636362,4.0,-1.3636363636363635,3283.630023920001,885.010005011
2017-10,Europe,Southern Europe,Italia,First Class,Late delivery,14,14,14.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,6959.40002819,-148.83993454000029
2016-10,Africa,West Africa,Nigeria,Standard Class,Shipping canceled,2,6,0.0,0.0,0.0,6.0,0.0,5.333333333333333,4.0,1.3333333333333333,833.1200142499999,232.729990854
2016-12,Europe,Southern Europe,Croacia,First Class,Late delivery,1,2,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,615.9600067,181.43000034
2015-06,Europe,Northern Europe,Reino Unido,First Class,Shipping canceled,1,1,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,114.3899994,54.90999985
2015-10,Pacific Asia,Eastern Asia,China,First Class,Late delivery,10,28,28.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,4408.970016480001,1031.610000031
2017-06,LATAM,Caribbean,Cuba,First Class,Shipping canceled,1,1,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,474.9500122,104.4899979
2015-04,LATAM,South America,Ecuador,Same Day,Shipping on time,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,299.9899902,140.9900055
2015-12,Pacific Asia,Southeast Asia,Indonesia,Same Day,Shipping canceled,1,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,367.46001436,79.77999592
2016-04,USCA,West of USA,Estados Unidos,Same Day,Shipping on time,7,21,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4040.7100411000006,461.03000361799985
2017-01,Africa,East Africa,Ruanda,Second Class,Shipping on time,1,2,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,245.9199982,105.74000167999999
2015-08,Europe,Western Europe,Francia,Second Class,Shipping on time,6,19,0.0,19.0,0.0,0.0,0.0,2.0,2.0,0.0,3183.7100220099996,672.58000566
2016-10,Europe,Eastern Europe,Bielorrusia,Second Class,Shipping on time,2,5,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,957.3200073999999,277.05000688
2015-05,LATAM,Central America,Guatemala,Second Class,Late delivery,10,32,32.0,0.0,0.0,0.0,1.0,4.6875,2.0,2.6875,5025.080016860001,921.580016086
2017-12,Pacific Asia,Eastern Asia,China,Second Class,Shipping canceled,2,2,0.0,0.0,0.0,2.0,0.0,6.0,2.0,4.0,367.39999392000004,128.60999675
2016-12,Africa,West Africa,Ghana,Standard Class,Late delivery,3,13,13.0,0.0,0.0,0.0,1.0,5.3076923076923075,4.0,1.3076923076923077,2288.6500397,-25.699985580000003
2017-01,Europe,Eastern Europe,Bielorrusia,Standard Class,Shipping on time,1,4,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,520.3500099400001,-33.35000037700001
2016-10,Africa,East Africa,Madagascar,Standard Class,Late delivery,3,11,11.0,0.0,0.0,0.0,1.0,5.818181818181818,4.0,1.8181818181818181,1590.4600161800001,306.72999576600006
2016-12,Africa,Southern Africa,Namibia,Standard Class,Advance shipping,1,2,0.0,0.0,2.0,0.0,0.0,3.0,4.0,-1.0,185.96999738,30.240000719999998
2017-01,Africa,North Africa,Egipto,Standard Class,Advance shipping,6,16,0.0,0.0,16.0,0.0,0.0,2.6875,4.0,-1.3125,2745.8500023799998,236.4099921799999
2016-12,Europe,Eastern Europe,Rumania,Standard Class,Late delivery,4,19,19.0,0.0,0.0,0.0,1.0,5.7368421052631575,4.0,1.736842105263158,2972.20004288,685.569989761
2017-01,Europe,Northern Europe,Lituania,Standard Class,Advance shipping,4,15,0.0,0.0,15.0,0.0,0.0,2.6,4.0,-1.4,2443.89003377,-139.38000783
2017-09,Europe,Western Europe,Suiza,Standard Class,Advance shipping,4,9,0.0,0.0,9.0,0.0,0.0,2.4444444444444446,4.0,-1.5555555555555556,1928.79002763,426.27000341099995
2015-10,Europe,Northern Europe,Finlandia,Standard Class,Late delivery,3,5,5.0,0.0,0.0,0.0,1.0,5.8,4.0,1.8,1045.9699859,335.30999949
2015-11,Pacific Asia,Southeast Asia,Singapur,Standard Class,Shipping on time,4,11,0.0,11.0,0.0,0.0,0.0,4.0,4.0,0.0,2213.0500221400002,-241.40998933799995
2016-12,Europe,Eastern Europe,Bulgaria,Standard Class,Late delivery,3,9,9.0,0.0,0.0,0.0,1.0,5.444444444444445,4.0,1.4444444444444444,1658.5300256,-311.340001625
2017-04,LATAM,Central America,El Salvador,Standard Class,Shipping on time,11,32,0.0,32.0,0.0,0.0,0.0,4.0,4.0,0.0,6544.500129989999,1513.279999835
2015-04,LATAM,Caribbean,Cuba,Standard Class,Shipping on time,9,24,0.0,24.0,0.0,0.0,0.0,4.0,4.0,0.0,4980.220066039999,-167.81001285000002
2017-01,LATAM,South America,Brasil,Standard Class,Late delivery,6,15,15.0,0.0,0.0,0.0,1.0,5.466666666666667,4.0,1.4666666666666666,2329.06002036,641.5999984409999
2017-08,Europe,Western Europe,Francia,Standard Class,Shipping canceled,6,11,0.0,0.0,0.0,11.0,0.0,4.909090909090909,4.0,0.9090909090909091,1978.60000231,366.18000555899994
2017-01,LATAM,Central America,Nicaragua,Standard Class,Shipping canceled,1,2,0.0,0.0,0.0,2.0,0.0,3.0,4.0,-1.0,546.94001388,176.66999247
2015-09,Europe,Western Europe,Alemania,First Class,Late delivery,36,106,106.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,19715.420282490002,2505.6299938879993
2016-03,Pacific Asia,Eastern Asia,Hong Kong,First Class,Late delivery,1,1,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,242.5,-194.0
2016-09,Africa,East Africa,Zimbabue,Same Day,Shipping on time,2,4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,742.1900253,2.019998579999992
2017-10,Europe,Northern Europe,Reino Unido,Same Day,Shipping on time,15,15,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5180.279993110001,-157.56995690600004
2015-01,LATAM,Caribbean,Cuba,Same Day,Late delivery,3,11,11.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1550.16003038,375.490005813
2015-03,LATAM,Caribbean,Cuba,Same Day,Late delivery,4,12,12.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2161.39003371,52.51000310599997
2016-06,USCA,West of USA,Estados Unidos,Same Day,Shipping on time,10,29,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,4847.4400901200015,536.0199799439999
2016-10,Africa,West Africa,Nigeria,Same Day,Late delivery,7,17,17.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3554.1400185200005,-200.9200116629999
2016-10,Europe,Eastern Europe,Ucrania,Second Class,Shipping on time,4,16,0.0,16.0,0.0,0.0,0.0,2.0,2.0,0.0,2609.8100355600004,-100.63001817699997
2016-12,Pacific Asia,West Asia,Irak,Second Class,Late delivery,7,12,12.0,0.0,0.0,0.0,1.0,3.75,2.0,1.75,2107.48998258,251.630000607
2018-01,Pacific Asia,Eastern Asia,Corea del Sur,Second Class,Late delivery,5,5,5.0,0.0,0.0,0.0,1.0,5.2,2.0,3.2,519.89001079,-274.350001308
2017-01,Africa,East Africa,Madagascar,Standard Class,Shipping on time,2,7,0.0,7.0,0.0,0.0,0.0,4.0,4.0,0.0,1170.5600051800002,212.65999694599998
2017-11,Europe,Southern Europe,Italia,First Class,Late delivery,5,5,5.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1465.9599762999999,-152.73000525999998
2017-01,LATAM,Central America,Nicaragua,First Class,Late delivery,6,21,21.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3365.1299991300007,740.799991118
2015-07,Europe,Northern Europe,Reino Unido,Same Day,Late delivery,7,24,24.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4163.3900451399995,207.02998646100008
2016-11,Europe,Northern Europe,Lituania,Second Class,Late delivery,1,3,3.0,0.0,0.0,0.0,1.0,6.0,2.0,4.0,716.4300232,242.16000452999998
2016-08,Africa,East Africa,Zambia,Standard Class,Advance shipping,2,4,0.0,0.0,4.0,0.0,0.0,2.75,4.0,-1.25,1124.0900040000001,-598.459976208
2016-10,Africa,Southern Africa,SudAfrica,First Class,Late delivery,11,25,25.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3519.68999472,176.17999738800003
2016-02,Pacific Asia,South Asia,India,Same Day,Late delivery,4,14,14.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2232.9900493399996,346.2600069719999
2017-04,LATAM,South America,Ecuador,Standard Class,Advance shipping,3,10,0.0,0.0,10.0,0.0,0.0,2.8,4.0,-1.2,1450.45003517,-275.17000191000005
2016-03,Pacific Asia,Southeast Asia,Tailandia,Standard Class,Shipping on time,4,16,0.0,16.0,0.0,0.0,0.0,4.0,4.0,0.0,2561.83000562,123.36003733100003
2018-01,Pacific Asia,Eastern Asia,Corea del Sur,Standard Class,Advance shipping,5,5,0.0,0.0,5.0,0.0,0.0,2.8,4.0,-1.2,814.6299858299999,-43.519997032999996
2016-10,Africa,West Africa,Ghana,Same Day,Shipping on time,1,4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,509.34001164,171.27000236
2016-10,Africa,North Africa,Egipto,Same Day,Late delivery,3,11,11.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2218.62001426,643.20999143
2015-08,Europe,Southern Europe,Italia,Same Day,Late delivery,3,9,9.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1574.69002542,126.84000777
2017-11,Pacific Asia,Oceania,Australia,Same Day,Shipping on time,7,7,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2517.0500031,125.43000406000002
2016-12,Africa,East Africa,Ruanda,Same Day,Shipping on time,1,4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,597.80999,214.47999954
2017-07,Europe,Western Europe,Alemania,Same Day,Late delivery,7,20,20.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3221.31001294,-378.429991136
2017-09,Europe,Western Europe,Austria,Second Class,Late delivery,6,23,23.0,0.0,0.0,0.0,1.0,4.217391304347826,2.0,2.217391304347826,4035.7500534900005,1056.51000218
2016-08,Europe,Eastern Europe,Rusia,Second Class,Shipping on time,1,4,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,724.87001796,191.099999433
2016-11,Pacific Asia,West Asia,Irak,Second Class,Late delivery,6,18,18.0,0.0,0.0,0.0,1.0,3.9444444444444446,2.0,1.9444444444444444,2998.04004672,233.42998421199997
2016-01,Pacific Asia,Southeast Asia,Singapur,Second Class,Late delivery,1,5,5.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,726.19000631,230.47999856
2016-02,Pacific Asia,Southeast Asia,Vietnam,Standard Class,Late delivery,5,17,17.0,0.0,0.0,0.0,1.0,5.823529411764706,4.0,1.8235294117647058,3303.6700439800006,560.63000364
2016-03,Pacific Asia,Southeast Asia,Singapur,Standard Class,Late delivery,3,6,6.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,754.979988,217.32000256
